"id","text_EN","text_CZ","text","modified","onlyid"
"podk_podkoni_t_to_znamena_473X",,,,"結局  〈お利口ハンス〉は かなりの間抜けだった でも従順な馬だよ",1
"ui_podkoni_t_seq3_kx3u",,,,"〈お利口ハンス〉だ",1
"ui_podkoni_t_seq6_gUGO",,,,"〈お利口ハンス〉について",1
"podk_henry_za_tohohle_ti__IWgI",,,,"〈お利口ハンス〉だ  言い値を払おう",1
"podk_henry_co_bys_mi_rek__9E5a",,,,"〈お利口ハンス〉の特徴は？",1
"vyvo_vyvolavan_jitrnice_j_QVpK",,,,"イトルニツェー、 イェリター、 サードロー！",1
"vyvo_vyvolavan_kolace_sla_b12A",,,,"コラーチよ、甘いコラーチ！ 果物入りのプラツカもあるよ！",1
"ctvr_event_poc_na_kocovin_XV9g",,,,"二日酔いの特効薬は  美味しくて濃厚な チェスネチカだ…",1
"tria_henry_jindrich_jmenu_HOIV",,,,"俺はインジフだ  綴りはJ、I、N…  まあいい…",1
"sedn_henry_jindrich_jmenu_IXia",,,,"インジフだ J I N…  まあいい…",1
"love_henry_no_to_je_vybor_mH4J","That's just great.",,,"参ったな",1
"kone_vasko_a_kdyz_se_u_me_j9Ow",,,,"実力を証明できたら  最高の技を教えてやる マイスターハウ… つまり「達人の攻撃」をだ",1
"s_pa_pasak_pra_slama_teda_Z5Oi",,,,"スラーマ (麦わら)だ!  スラヴァボルという名前だが  みんな「スラーマ (麦わら)」と 呼んでる",1
"pa_pasak_pra_slama_teda_Z5Oi",,,,"スラーマ (麦わら)だ!  スラヴァボルという名前だが  みんな「スラーマ (麦わら)」と 呼んでる",1
"jind_henry_mluvil_jsem_s__dR8u",,,,"プラフタと話してきた  使用人のスラーマが シャベルを運ぶところを見たらしい",1
"jind_henry_pasak_prasta_t_wsm2",,,,"豚飼いのプラフタが  その近くでスラーマが シャベルを運んでるのを見たらしい",1
"jind_rychtar_d_rikal_jsi__Qrn3",,,,"豚が掘り起こしたと言ったな？  豚飼いのプラフタなら 何かわかるかもしれん…",1
"pasacek_vylepsit_alsikovu_4uAl",,,,"アルシークの飯に味付けする",1
"vrch_olbram_jeste_sem_vym_LmRH",,,,"牛の腹の調子がよくないときに飲ませるものじゃ  プロチェクの息子は盛大にクチョを漏らすぞ  ヘヘ！",1
"comb_combo_tea_no_jo_to_j_1QiW",,,,"ああ  「ミッテルハウ」とか…  「クルツハウ」とか…  万事そんな調子だ  そんな言葉を聞いて  意味がわかる人間がいるか？",1
"combat_tu_proved_opravdov_WQWy",,,,"正しいコンボを決める",1
"vajd_vajda_ze_ses_tak_chy_ckFS",,,,"鋭い質問をしたつもりか？  女執行官や女王や女隊長の名前を何人挙げられる？",1
"vajd_vajda_a_ted_nemam_za_x7l2",,,,"私はこの野営地のヴォイヴォダ (大将) なのに  アランカのほかは ここに家族はもういない…  よそから来た 遊牧民ばかりだ",1
"vajd_vajda_to_nepopiram_ugkM",,,,"私はヴォイダであって  聖人ではない！",1
"suk__pan_semin_bezhlavy_j_HwZM",,,,"首なしの騎士  岩場を這う子鬼に白い女  毎晩暖炉の そばに集まると  彼女は糸車に腰掛けて いろいろな話をしたものだ",1
