id,text_EN,text_CZ,text,modified,onlyid
lorebook_onlibuseandpremy_3xvi,"","","国中の領主たちは歓喜に沸いて彼女の言葉に耳を傾けると誓い、リブシェは彼らにこう命じた。彼女の駿馬に鞍をつけ、自由に歩き回らせろ。馬の行き着いた先で、彼らは牛の群れを駆る農夫、ヴォエヴァォドを目にすることになる、と。その言葉通り、馬はプシェミスルという名の農夫のもとへ彼らを導いた。彼らは農夫に言った。「リブシェ王女および偉大なるチェコのすべての民は、ここにあなたに懇願する。あなたが我々とともに来て、運命があなたやあなたの子孫に与える統治を受け入れることを」&lt;br/&gt; &lt;br/&gt;","国中の領主たちは歓喜に沸いてリブシェの言葉に耳を傾けると誓うと、彼女は彼らにこう命じた。「駿馬に鞍をつけ、自由に歩き回らせよ。馬の行き着いた先で彼らは、雄牛の群れを追い立てる農夫を、新たなヴォイヴォダとして見出すだろう」と。その言葉通り、馬はプシェミスルという名の農夫のもとへ彼らを導いた。彼らは農夫に言った。「リブシェ王女および偉大なるチェコのすべての民は、ここにあなたに懇願する。あなたが我々とともに来て、運命とあなたとあなたの子孫に与える統治を受け入れることを」&lt;br/&gt; &lt;br/&gt;",1
lorebook_onlibuseandpremy_AwW2,"",""," プシェミスルは使者たちにこう返答した。「あなたたちがよりによって今朝やってきたことが残念だ。もし私がこの畑を耕し終えることができれば、いつまでもふんだんにパンを食べることができたはず。しかし、残念なことにあなたがたは私の仕事を邪魔した。よってこの土地は、たびたび大きな飢饉に見舞われるだろう」そして、プシェミスルは彼らに言った。「リブシェがあなたがたに言った言葉をもう一度言う。あなたたちが少女の忠告に耳を傾けなかったように、今後、私の家系はあなたたちを厳しく統治することになるだろう」その後、プシェミスルは彼らとともにリブシェのもとへ行き、その美しい手を取って結婚し、長年にわたって賢明な統治を行った。その後は息子たちが彼に代わり国を治め、こうして高名かつ偉大なるプシェミスル朝が築かれた","プシェミスルは使者たちにこう返答した。「あなたたちがよりによって今朝やってきたことが残念だ。もし私がこの畑を耕し終えることができれば、いつまでもふんだんにパンを食べることができたはずだ。しかし、残念なことにあなたがたは私の仕事を邪魔した。よってこの土地は、たびたび大きな飢饉に見舞われるだろう」それから、プシェミスルは彼らに言った。「リブシェがあなたがたに言った言葉をもう一度言う。あなたたちが少女の忠告に耳を傾けなかったように、今後、私の家系はあなたたちを厳しく統治することになるだろう」その後、プシェミスルは彼らとともにリブシェのもとへ行き、その美しい手を取って結婚し、長年にわたって賢明な統治を行った。その後は息子たちが彼に代わり国を治め、こうして高名にして偉大なるプシェミスル朝が築かれた",1
lorebook_onlibuseandpremy_Drvk,"","","リブシェの治世は豊かで、あらゆる者に公平であったが、その統治は多くの男たちの意に反していた。言い伝えにあるように「髪が長い女は理性に欠け、女に支配される男たちは恥知らずである」と考えていたのだ。リブシェは大きな悲しみに苛まれつつ盛大な会議を開き、自分の姉妹や国中の年長の統治者たちを招いた。彼女は彼らにこう言った。「あなたがたは自由を尊ばず、女があなたがたを支配するのを恥ずべきことだと考えています。よって、あなたがたにヴォエヴァォド… 男の将軍を与えましょう。ただし、私の言葉を聞き、私の忠告に耳を傾けることが条件です」&lt;br/&gt;&lt;br/&gt;  ","リブシェの治世は豊かで、あらゆる者に公平であったが、その統治は多くの男たちの意に反していた。言い伝えにあるように「髪が長い女は理性に欠け、女に支配される男たちは恥知らずである」と考えていたのだ。リブシェは大きな悲しみに苛まれ、大きな集会を開いて自分の姉妹や国中の長老たちを招いた。彼女は彼らにこう言った。「あなたがたは自由を尊ばず、女があなたがたを支配するのを恥ずべきことだと考えています。よって、あなたがたに男のヴォイヴォダ (指導者) を与えましょう。ただし、私の言葉を聞き、私の忠告に耳を傾けることが条件です」&lt;br/&gt;&lt;br/&gt;",1
lorebook_onelectors_part_o20N,"","","この称号を冠する者は選挙によって決められる。旧皇帝が亡くなると、ドイツ語で「Kurfuersten」と呼ばれる7人の選帝侯によって、新しい皇帝が選ばれるのである。カール皇帝は金印勅書でこの制度を定め、当時の選帝侯は以下の7人。ドイツ領土の帝国宰相にマインツの大司教、イタリア領土の大書記長にケルンの大司教、ブルゴーニュ地方の宰相にトリーアの大司教、大元帥ライン宮中伯、大元帥ザクセン公、献酌人ボヘミア王、そして大侍従長ブランデンブルク辺境伯。これらすべての選帝侯が新たな皇帝の誕生に同意し、その選出を承認しなければならず、その後、皇帝はローマ教皇から王冠を受け取り、その称号を受諾する。現代は教皇を名乗る者が2人おり、どちらが真の教皇なのかは誰にもわからないため、この手順は複雑化している ","皇帝が亡くなると、7人の、ドイツ語で Kurfürst と呼ばれる選帝侯によって、新しい皇帝が選ばれる。皇帝カレルIV世は金印勅書でこの制度を定めた。当時の選帝侯は以下の7人である。ドイツの大法務官たるマインツ大司教、イタリアの大法務官たるケルン大司教、ブルゴーニュの大法務官たるトリーア大司教、大司厨長たるライン宮中伯、大司馬たるザクセン公、大献酌官たるボヘミア王、そして大侍従長たるブランデンブルク辺境伯。これらすべての選帝侯が新たな皇帝の誕生に同意し、その選出を承認しなければならず、その後、皇帝はローマ教皇から戴冠することで、その地位が認められる。だが現在は教皇を名乗る者が2人おり、どちらが真の教皇なのかは誰にもわからないため、この手順は複雑化している。",1
lorebook_oncumans_part_nkLb,"",""," クマン人の外見は、一目でそれとわかる。坊主頭で、こめかみから太い三つ編みを垂らし、とがった口ひげを生やして、モンゴル人やタタール人によく似たつり目と顔を持つ。その小柄な体格は乗馬に適しており、あまりに馬術に長けているため、鞍の上で産まれたのではないかと言われることもある。彼らの武器は、馬の背から巧みに放たれる弓矢か、湾曲が特徴の剣（シミター）である。鎧は非常に軽く、素早い動きに対応できる造りとなっている。クマン人の戦士を見くびってはならない。彼らは幼い頃から戦闘訓練を受け、傭兵として活動する。これはボヘミア王位簒奪を目論んだハンガリー王ジクムント・ルクセンブルクが、クマン人の巨大な軍隊を使って町や村を略奪したことからも明らかだ。当時のハンガリーには、彼らの他にジクムントとともにボヘミアへ進軍しようとする戦士は存在しなかった","クマン人の外見は、一目でそれとわかる。剃髪し、こめかみから太い三つ編みを垂らし、とがった口ひげを生やして、彼らがよく混同されるモンゴル人やタタール人によく似たつり目と顔を持つ。その小柄な体格は乗馬に適しており、あまりに馬術に長けているため、鞍の上で産まれたのではないかと言われることもある。彼らの武器は、馬の背から巧みに放たれる弓矢か、湾曲が特徴の剣であるシミターである。鎧は非常に軽く、素早い動きに対応できる造りとなっている。クマン人の戦士を見くびってはならない。彼らは幼い頃から戦闘訓練を受け、傭兵として活動する。これはボヘミア王位簒奪を目論んだハンガリー王ジクムント゠ルツェンブルスキーが、クマン人の大群を使って都市や村を略奪したことからも明らかだ。当時のハンガリーには、彼らの他にジクムントとともにボヘミアへ進軍しようとする戦士は存在しなかった。",1
lorebook_onsaintadalbert__Jizz,"","","ボヘミア王国の初代司教であったディートマールの死後、スラブニク一族のヴォイテク（ヴォイチェフの名で知られる）がその座に就いた。982年のことである。前任者によるとその頃、庶民の間には多くの不正が蔓延し、貴族の間では一夫多妻制がはびこり、民衆の間で血縁争いが盛んになり、安息日も聖日も敬わず市が開かれ、キリスト教徒が奴隷として売られ、田舎では異教徒の慣習が盛んに実行されていた。この言葉を胸に、ヴォイチェフはそうした不義との戦いに生涯を捧げることを決意し、根絶に向けて5年間努力したが、成果は出なかった。ヴォイチェフは絶望のうちにローマに行き、聖なる父に助言を乞うた。聖父はこう答えた。「わが子よ、もしあなたが民衆を導くことができないのであれば、もう一度やり直し、せめて自分自身を救う努力をしなさい」&lt;br/&gt;&lt;br/&gt;","ボヘミア王国の初代司教であったジェトマルの死後、スラヴニーク族のヴォイチェフがその座に就いた。彼はアダルベルトの名でも知られる。982年のことである。前任者によるとその頃、庶民の間には多くの不正が蔓延し、貴族の間では一夫多妻制がはびこり、民衆の間で血縁争いが盛んになり、安息日も聖日も敬わず市が開かれ、キリスト教徒が奴隷として売られ、田舎では異教徒の慣習が盛んに実行されていた。この言葉を胸に、ヴォイチェフはそうした不義との戦いに生涯を捧げることを決意し、根絶に向けて5年間努力したが、成果は出なかった。ヴォイチェフは絶望のうちにローマに行き、聖なる父に助言を乞うた。聖父はこう答えた。「わが子よ、もしあなたが民衆を導くことができないのであれば、もう一度やり直し、せめて自分自身を救う努力をしなさい」&lt;br/&gt;&lt;br/&gt;",1
lorebook_onsiegeofprague__ayYb,"","","西暦1401年、統治能力と意欲の欠如を理由に、選帝侯たちがヴァーツラフ王から神聖ローマ皇帝の称号を剥奪した後の夏。ヨシュト、モラヴィア辺境伯、そして貴族連合の軍隊が、プロコプの援護支援を受けたマイセンのヴィルヘルムの軍隊とともに、プラハの門の前に並び立った。プロコプは国王のいとこであり、当初はヴィルヘルムに戦争を思いとどまらせるために派遣されたが、最終的にはヴィルヘルムに加勢した。彼らは南北の2方向から町を包囲したが、町を襲撃したり、城壁を完全に包囲したりするほどの戦力は持っていなかった。ヴァーツラフ王は軍隊を率いて安全な城壁内から出ることを拒み、全軍がその場に留まって動きがあるまで待機することとなった。また、包囲している側もボヘミア王国に損害を与えようとは思っておらず、ヴァーツラフに降伏とボヘミア王位の返上を迫ることを目的としていたため、プラハの中へと軍を送り込むつもりはなかった&lt;br/&gt;&lt;br/&gt;","西暦1401年、統治能力と意欲の欠如を理由に、選帝侯たちがヴァーツラフ王から神聖ローマ皇帝の称号を剥奪した後の夏。モラヴィア辺境伯ヨシュトと貴族連合の軍隊が、プロコプの支援を受けたマイセンのヴィルヘルムの軍隊とともに、プラハの門の前に並び立った。プロコプは国王のいとこであり、当初はヴィルヘルムに戦争を思いとどまらせるために派遣されたが、最終的にはヴィルヘルムに加勢した。彼らは南北の2方向から町を包囲したが、町を襲撃したり、城壁を完全に包囲したりするほどの戦力は持っていなかった。ヴァーツラフ王は軍隊を率いて安全な城壁内から出ることを拒み、全軍がその場に留まって動きがあるまで待機することとなった。また、包囲している側もボヘミア王国に損害を与えようとは思っておらず、ヴァーツラフに降伏とボヘミア王位の返上を迫ることを目的としていたため、プラハの中へと軍を送り込むつもりはなかった。&lt;br/&gt;&lt;br/&gt;",1
"alch_antidote_step_1","","","水、アザミ1つかみ、アザミを２つかみ、木炭1つかみが必要","水、アザミを2つかみ、イラクサ1つかみ、木炭1つかみが必要",1
"ui_helpoverlay_hardcoreModeOwned_s0100","","","没入感の高い新たなゲームモード。移動やサバイバル、戦闘の難易度が上がり、今まで以上に現実に近い体験を味わえる。ハードコアモードでは最初に、マイナス効果のあるパークを3つ以上選ばなければならない。これにより、さまざまな場面で一段とゲームの難易度が上がる","没入感の高い新たなゲームモードだ。移動・生存活動・戦闘の難易度が上昇し、今まで以上に現実に近い体験を味わえる。ハードコアモードでは最初に、マイナス効果のあるパークを3つ以上選ばなければならない。このため、さまざまな場面で一段とゲームの難易度が上がる。",1
"ui_helpoverlay_hardcoreModeOwned_s0200","","","なくなるもの","失われるもの",1
