id,text_EN,text_CZ,text,modified,onlyid
"bez_na_au_kdyz_ale_doslo__dQ51","","","予想外なことに、辺境伯はプターチェク卿を救うために行動を起こす気はないらしい。彼の言い分では、ベルガウは恐らく身代金を望むと思われるため、ハンスの命はハヌシュ卿を長とする彼の家族の手に委ねられているそうだ。〈スヒー=チェルト〉が砦にいなかった理由が、ヨシュトが保護を拒んだせいだったと知ったジシュカは、明らかに立腹しながら部屋に入ってきた。状況は極めて緊迫しており、ジシュカは今にも怒りを爆発させそうに見えた。結果的に、俺たちは辺境伯から警告を受けてしまった","予想外なことに、辺境伯はプターチェク卿を救うために行動を起こす気はないらしい。彼の言い分では、ベルガウは恐らく身代金を望むと思われるため、プターチェクの命はハヌシュ卿を長とする彼の家族の手に委ねられているそうだ。〈スヒー=チェルト〉が砦にいなかった理由が、ヨシュトが保護を拒んだせいだったと知ったジシュカは、明らかに立腹しながら部屋に入ってきた。状況は極めて緊迫しており、ジシュカは今にも怒りを爆発させそうに見えた。結果的に、俺たちは辺境伯から警告を受けてしまった",1
"hod_do_vo_jedna_z_holek_s_fznP","","","ハンスが石を投げて女性の注意を逸らすことを思いついた。本当に注意を引けた","プターチェクが石を投げて女性の注意を逸らすことを思いついた。本当に注意を引けた",1
"novypocke_purkrabi_hasek__jfY6","","","ハシェク城伯は、兵士たちにセミーン遠征の準備をさせるために少し時間が必要だという。つまり、俺とハンスも準備に時間をかけられるわけだ。だが、出発に遅れないようにトロスキからあまり離れないほうがいい。プターチェク卿と話をしておこう。彼は待つのを嫌がるかもしれない","ハシェク城伯は、兵士たちにセミーン遠征の準備をさせるために少し時間が必要だという。つまり、俺とプターチェクも準備に時間をかけられるわけだ。だが、出発に遅れないようにトロスキからあまり離れないほうがいい。プターチェク卿と話をしておこう。彼は待つのを嫌がるかもしれない",1
"prezij_s_ptackem_se_nam_p_EV31","","","俺とハンスは岩場を抜けて逃げた。結局俺は人殺しどもの1人に追いつかれたが、幸いにも ヴォジェフが命を救ってくれた。だが、その後俺の忠犬がどうなったかはわからない…","俺とプターチェクは岩場を抜けて逃げた。結局俺は人殺しどもの1人に追いつかれたが、幸いにも ヴォジェフが命を救ってくれた。だが、その後俺の忠犬がどうなったかはわからない…",1
"promluv_s_podle_kunzlinov_8DZD","","","助言に従ってクンズリン卿の友人であるハシュタルに相談し、マレショフの種馬牧場で管理人をしている彼が馬を手配してくれることになった。これでハンスと速やかに逃げられる","助言に従ってクンズリン卿の友人であるハシュタルに相談し、マレショフの種馬牧場で管理人をしている彼が馬を手配してくれることになった。これでプターチェクと速やかに逃げられる",1
"promluv_s_podle_kunzlinov_CCML","","","助言に従ってクンズリン卿の友人であるハシュタルに相談し、マレショフの種馬牧場で管理人をしている彼が馬を手配してくれることになった。これでハンスと速やかに逃げられる","助言に従ってクンズリン卿の友人であるハシュタルに相談し、マレショフの種馬牧場で管理人をしている彼が馬を手配してくれることになった。これでプターチェクと速やかに逃げられる",1
"zautoc_na_predvedl_jsem_p_Zbpz","","","ハンスにロングソードを使った攻撃をきっちりと見せつけてやった","プターチェクにロングソードを使った攻撃をきっちりと見せつけてやった",1
"zautoc_na_zakladem_boje_j_OQSM","","","戦闘の基本は攻撃だ。それをハンスに見せつけてやろう","戦闘の基本は攻撃だ。それをプターチェクに見せつけてやろう",1
"najdi_ztr_safarik_me_popr_Lfjt","","","スタニスラフから行方不明の雄羊を探してほしいと頼まれた。その羊は東に逃げたらしく、森の小道の脇にある空き地にいる可能性がある。人参があれば、その羊を誘導できるはずだ","シャファジークから行方不明の雄羊を探してほしいと頼まれた。その羊は東に逃げたらしく、森の小道の脇にある空き地にいる可能性がある。人参があれば、その羊を誘導できるはずだ",1
"pasacek_s_rekni_safarikov_ITw2","","","スタニスラフに顛末を報告する","シャファジークに顛末を報告する",1
"pasacek_s_safarik_zemrel_aUmt","","","スタニスラフは死んだ","シャファジークは死んだ",1
"poustevnik_promluv_se_sve_gCbA","","","目撃者のスタニスラフと話す","目撃者のシャファジークと話す",1
"promluv_s_smolik_neco_vi_zfsW","","","羊飼いのスタニスラフが、数日前の夜に悪魔を見たと言っている。本人に話を聞き、実際に何を見たのか確かめたほうがよさそうだ。羊飼いはアポロニア近くの大きな十字路の近くに住んでいる。トロスコウィッツ墓地の先だ","羊飼いのシャファジークが、数日前の夜に悪魔を見たと言っている。本人に話を聞き、実際に何を見たのか確かめたほうがよさそうだ。羊飼いはアポレナ近くの大きな十字路の近くに住んでいる。トロスコヴィツェの墓地の向こうだ。",1
