"id","text_EN","text_CZ","text","modified","onlyid"
"ui_codex_char_albik","&lt;paragraph&gt;Czech physician, lawyer, provost of Vyšehrad and archbishop of Prague.&lt;/paragraph&gt;&lt;paragraph&gt;From 1399, he was the personal physician of Wenceslas IV. By 1411, he was teaching medicine at the Medical Faculty of Charles University in Prague, where he dramatically raised the professional level and prestige of the entire faculty (medicine was not yet recognized as one of the 'arts').&lt;/paragraph&gt;&lt;paragraph&gt;After the death of Wenceslas IV, he became the personal physician to his brother Sigismund of Luxembourg, who elevated him to the nobility for his services. During the Hussite wars, Albich had to abandon all his properties and flee the country.&lt;/paragraph&gt;&lt;paragraph&gt;From his extensive literary legacy, the most significant works are &lt;italic&gt;Compendium medicinae&lt;/italic&gt; (Medical Compendium) and &lt;italic&gt;Regimen sanitatis seu Vetularius&lt;/italic&gt; (Rules for the Preservation of Health), intended for the general public.&lt;/paragraph&gt;","nan","","&lt;paragraph&gt;彼はチェコの医師・弁護士・ヴィシェフラトの主席司祭・プラハ大司教だった。&lt;/paragraph&gt;&lt;paragraph&gt;1399年よりヴァーツラフIV世の専属医を務めた。1411年頃にはプラハ=カレル大学の医学部で医学を教え、学部全体の専門性と名声を飛躍的に高めた。当時、医学はまだ「学術」のひとつとして認められていなかったのだ。&lt;/paragraph&gt;&lt;paragraph&gt;ヴァーツラフIV世の死後、彼は王弟であるルクセンブルクのジクムントの専属医となり、その功績を称えられて貴族に叙された。フス戦争の期間は、アルビークはすべての財産を放棄して国外に逃亡した。&lt;/paragraph&gt;&lt;paragraph&gt;彼が後世に遺した文学作品の中でもっとも重要なものは、一般大衆向けの『コンペンディウム゠メデイキーナエ (医学百科)』と&lt;italic&gt;『レギメン=サーニターティス=セウ=ウェトゥラーリウス (健康維持の規則)』&lt;/italic&gt;である。&lt;/paragraph&gt;",1
"ui_codex_cont_rada_rychtar","&lt;paragraph&gt;At the head of the town stood a &lt;accent&gt;bailiff&lt;/accent&gt; appointed by the monarch (his office was hereditary), and a city council consisting of &lt;accent&gt;aldermen&lt;/accent&gt; (known as &lt;italic&gt;councillors&lt;/italic&gt; or &lt;italic&gt;elders&lt;/italic&gt;). The head of the council was the &lt;accent&gt;Bürgermeister&lt;/accent&gt; or &lt;accent&gt;underchamberlain&lt;/accent&gt;.&lt;/paragraph&gt;&lt;paragraph&gt;The council members were mostly wealthy townsmen, and their rotation in office depended on whether it was a royal, manorial, or free city.&lt;/paragraph&gt;&lt;paragraph&gt;The &lt;accent&gt;council&lt;/accent&gt; decided on the most important matters concerning the city and its inhabitants. Courts, consultations, records, the sale or donation of property, registers, contracts, and other documents were prepared and stored at the Town Hall.&lt;/paragraph&gt;","nan","","&lt;paragraph&gt;都市の首長は、君主によって任命された世襲制の&lt;accent&gt;執行官&lt;/accent&gt;と、&lt;accent&gt;参事会員&lt;/accentgt;（&lt;italic&gt;&lt;/italic&gt;別名「&lt;italic&gt;長老&lt;/italic&gt;」）で構成される参事会とがあった。参事会の長は、&lt;accent&gt;コミュニティの長&lt;/accent&gt;または&lt;accent&gt;副侍従長&lt;/accent&gt;が務めていた。&lt;/paragraph&gt;&lt;paragraph&gt;参事会員は主に裕福な市民で、在任期間は国王都市・領主の都市・自由都市など都市の地位によってさまざまであった。&lt;/paragraph&gt;&lt;paragraph&gt;&lt;accent&gt;参事会&lt;/accent&gt;は、都市とその住民に関する重要な議題を決定した。法廷・会議・帳簿・不動産の売却と寄付・登記簿・契約書、その他の文書は市の公会堂で作成され、保管されていた。&lt;/paragraph&gt;",1
"ui_codex_cont_scribe","&lt;paragraph&gt;Their main activity was keeping records from the regional court and city council meetings. In medieval society, they were one of the few people who could read and write, making their services highly sought after in almost every town.&lt;/paragraph&gt;","nan","","&lt;paragraph&gt;彼らの主な仕事は土地の法廷と参事会の議事録を残すことだった。中世社会において、書記官は読み書きができる数少ない人間であったため、その技術はほとんどの都市で引く手あまただった。&lt;/paragraph&gt;",1
"ui_codex_cont_sedlak","&lt;paragraph&gt;In medieval times, about 90% of the population lived in villages, most of whom were engaged in agriculture and animal husbandry.&lt;/paragraph&gt;&lt;paragraph&gt;Although peasants were free and had owned their farms from time immemorial, the land beneath them was only leased from the sovereign or, respectively, from the nobleman who had received it as a fief from the king. For the lease of the land, they had to pay part of their annual yields – whether in money, honey, grain, or other crops.&lt;/paragraph&gt;&lt;paragraph&gt;Sometimes they were also required to perform corvée labour for the lord, that is, to work without pay on the fields belonging to the feudal noble.&lt;/paragraph&gt;&lt;paragraph&gt;The Land Diets in the 15th and 16th centuries voted that the village folk were not allowed to carry weapons or practice hunting. With the special permission of the lord, the peasants were allowed to hunt hares or small birds.&lt;/paragraph&gt;","nan","","&lt;paragraph&gt;中世の村落は人口の90%を占め、その大半は農業と畜産業に従事していた。&lt;/paragraph&gt;&lt;paragraph&gt;農民は自由民であり、大昔から家畜を所有していたが、土地自体は君主から、あるいは国王から領地を賜った貴族から借りていた。1年間の収入の一部は地代にあてられ、現金・ハチミツ・小麦、その他の作物の形で支払われた。&lt;/paragraph&gt;&lt;paragraph&gt;時には領主が所有する農地で無給で働くなど、貴族のために働くことも求められた。&lt;/paragraph&gt;&lt;paragraph&gt;15世-16世紀の王国会議では、平民は武器を持つことも狩猟に従事することもできないと定められた。領主から特別な許可を受けた場合に限り、野ウサギや小鳥を狩ることが許された。&lt;/paragraph&gt;",1
"ui_codex_cont_semin","&lt;paragraph&gt;Semín (Semine) is a small village lying to the west of Troskowitz. In earlier times, it included a fortress that no longer exists today, which, according to surviving records, belonged to Jan and Oldřich of Semín in the year 1365. These two brothers, and later their children, owned the fortress until 1416, but did not reside there much because they chose other places for their seats. In 1375, Oldřich’s son Jan therefore assumed administration of Semín, and after him it passed to his sons Petr and Přibík.&lt;/paragraph&gt;&lt;paragraph&gt;Whether these Semín men were ancestors or relatives of the Semín of Semín line – an old Bohemian minor noble family – unfortunately can no longer be definitively proven or disproven. So far, the only discovery is that the first to bear that name was Jakub the Younger Semín of Semín, as late as 1422.&lt;/paragraph&gt;&lt;paragraph&gt;Even so, we decided to present the owner of the Semín fortress in our game as a representative example of impoverished nobility dwelling in pleasant countryside.&lt;/paragraph&gt;&lt;paragraph&gt;As for the place where the fortress is situated, the terrain bordered by steep rocky slopes, lakes, marshes and fishponds became an ideal settlement area as early as the middle of the first century BC. Remains of massive ramparts can be found here, the most prominent part being a ten-metre-high frontal rampart with a moat, which archaeological research indicates was built by the Celts.&lt;/paragraph&gt;&lt;paragraph&gt;In Kingdom Come: Deliverance 2, one also finds the Semín mill, which belonged to the lords of Semín for centuries, and it remains an important part of the picturesque landscape to this day.&lt;/paragraph&gt;","nan","","&lt;paragraph&gt;セミーンはトロスコヴィツェの西にある小さな村である。1365年のセミーンのヤンとオルジフ兄弟による記録によれば、最初期には砦が存在したが、現存していない。この兄弟および彼らの子孫は1416年まで砦の所有者であったが、彼らは他の場所を好み、砦にはほとんど住むことがなかった。1375年には、オルジフの息子ヤンが、彼の死後はその息子ペトルとプシビークがセミーンの管理を任されていたと考えられる。&lt;/paragraph&gt;&lt;paragraph&gt;これらのセミーンに関する人物が、ボヘミアの古い小貴族の家系である、セミーンのセミーン家に連なる者なのかどうかは、残念ながら肯定も否定できない。一つわかっていることは、最初にセミーンの名を冠したのが1422年頃の「セミーンのセミーン若年卿ヤクプ」という人物ということである。&lt;/paragraph&gt;&lt;paragraph&gt;そこで我々は、作中でのセミーンの砦の所有者の人物像を、典型的な地方の農村に住む貧しい貴族とした。&lt;/paragraph&gt;&lt;paragraph&gt;砦の立地に関しては、急峻な岩肌の斜面、沼沢地や養殖池に囲まれた地形は、紀元前1世紀半ばまでは集落として理想的だった。ここでは城壁の残骸が見つかっており、特筆すべきものとして、高さ10メートルで堀付きの城壁の前面部分がある。考古学的な調査によって、これはケルト人の時代のものであるとされている。&lt;/paragraph&gt;&lt;paragraph&gt;本作では、セミーンの領主が数世紀にわたって所持していた風車小屋を目にできる。この風車小屋は今日に至るまで、現地の景観を構成する重要な要素として残っている。&lt;/paragraph&gt;",1
"ui_codex_char_bergov","&lt;years&gt;before 1377 – circa 1414&lt;/years&gt;&lt;paragraph&gt;Otto III von Bergow was a notable Czech nobleman of Thuringian-Meissen origin who held royal offices at the provincial court and served as the burgrave of Prague from 1388 to 1393. Later, as a leading member of the League of Lords, he served on the royal council, where he actively opposed his king, Wenceslas IV. During Wenceslas IV's imprisonment in Vienna, Otto held the position of the highest provincial chamberlain, a post entrusted to him by the Hungarian king Sigismund of Luxembourg. In this role, he was responsible for tasks such as collecting taxes from royal towns and certain monasteries or approving appointed councilors.&lt;/paragraph&gt;&lt;paragraph&gt;Otto's original domain included Biela (Bílina) and Seeberg (Žeberk) in northern Bohemia, which he sold to purchase the Rohozec estate and Trosky Castle, which he extensively rebuilt. After Wenceslas IV returned to the Czech throne, he was removed from his offices and died in 1414.&lt;/paragraph&gt;","<years>před 1377 – cca. 1414</years><paragraph>Ota III. z Bergova bylvýznamný český šlechtic duryňsko-míšenského původu, který zastával královskéúřady u zemského soudu, a v letech 1388-1393 byl pražským purkrabím. Pozdějijako přední člen Panské jednoty působil v královské radě, kde ovšem aktivněvystupoval proti svému králi Václavu IV. a v době jeho vídeňského zajetízastával místo nejvyššího zemského podkomořího, které mu svěřil uherský králZikmund Lucemburský. Z této funkce měl na starost například výběr daní zkrálovských měst a některých klášterů nebo schvalování jmenovanýchkonšelů.</paragraph><paragraph>Otovo původní panství zahrnovalo severočeskouBílinu a Žeberk, než je odprodal a zakoupil rohozecké panství a hrad Trosky,který nákladně přestavěl. Po návratu Václava IV. na český trůn byl sesazenze svých funkcí a roku 1414 zemřel.</paragraph>","","&lt;years&gt;(1377以前 - 1414頃)&lt;/years&gt;&lt;paragraph&gt;オットー=フォン=ベルガウIII世は、チューリンゲン=マイセン出身の著名なチェコ貴族であり、王国法務官職を歴任し、1388年から1393年までプラハ城伯を務めた。その後、『貴族連合』の重要人物として王国議会に参加し、国王ヴァーツラフIV世と積極的に対立した。ヴァーツラフIV世がウィーンに幽閉されていた頃、オットーはハンガリー王であるルクセンブルクのジクムントの指名により、首席王国侍従長の地位にあった。職務の内容は王国都市や特定の修道院からの徴税、あるいは指名された議員の承認などだった。&lt;/paragraph&gt;&lt;paragraph&gt;オットーは本来、北ボヘミアのブリーリナ (ビエラ) とジェベルク (ゼーベルク) に領地を持っていたが、彼はこれらを売却してロホゼツの土地とトロスキ城を購入し、大規模な改築を施した。ヴァーツラフIV世がチェコ王位に返り咲いた後、彼は解任され、1414年に死去した。&lt;/paragraph&gt;",1
"ui_codex_char_capon","&lt;years&gt;1388(?) - 1419&lt;/years&gt;&lt;paragraph&gt;&lt;accent&gt;young Lord Capon (Jan Ptáček) &lt;/accent&gt;&lt;/paragraph&gt;&lt;paragraph&gt;Son of Ješek Ptáček and Hedvika of Duba. After the death of his father, Jan Ješek, the Lords of Leipa (uncle Henry, his son Hanush and his brothers) became his guardians.&lt;/paragraph&gt;&lt;paragraph&gt;After the imprisonment of Master Jan Hus, he signed a petition in his defence. In the Hussite wars, however, he initially sided with the League of Lords against the Hussites in a few minor battles (in 1419 he took part in the battle against the Hussites at Knin), apparently due to the influence of his close neighbour Lacek of Kravař from Šternberk. There are no records indicating he took part in the war later.&lt;/paragraph&gt;&lt;paragraph&gt;He was the Lord of Rattay and Polná. He acquired Rattay from his guardians only in 1412. He held positions in the provincial offices and his son was the famous Hynek Ptáček.&lt;/paragraph&gt;&lt;paragraph&gt;Unlike his historical precursor, however, we took the poetic license of making Hans Capon a twenty-year-old man in our game.&lt;/paragraph&gt;","<years>1388(?) – 1419</years><paragraph><accent>mladý panPtáček</accent></paragraph><paragraph>Syn Ješka Ptáčka a Hedviky z Dubé. Posmrti jeho otce Jana Ješka se jeho poručníky stali páni z Lipé (Jindřich,jeho syn Hanuš a jeho bratři).</paragraph><paragraph>Po zajetí mistra JanaHusa podepsal list na jeho obranu. V husitských válkách stál ale zpočátku nastraně Panské jednoty proti husitům v několika drobných bojích (v roce 1419se zúčastnil boje proti kališníkům u Knína), a to zřejmě kvůli vlivublízkého souseda Lacka z Kravař ze Šternberku. Později ale nejsou žádnézprávy o tom, že by se války účastnil.</paragraph><paragraph>Byl pánem naRatajích a Polné. Rataje získal od poručníků až v roce 1412. Spravovalfunkce na zemských úřadech a jeho synem je slavný HynekPtáček.</paragraph><paragraph>V naší hře jsme si ovšem dovolili pana Ptáčkaoproti jeho reálné předloze postaršit a udělali z něj dvacetiletéhomuže.</paragraph>","","&lt;years&gt;(1388? - 1419)&lt;/years&gt;&lt;paragraph&gt;&lt;accent&gt;プターチェク若年卿、ヤン=プターチェクのこと。&lt;/accent&gt;&lt;/paragraph&gt;&lt;paragraph&gt;彼はイェシェク゠プターチェクとドゥバのヘドヴィカの間に産まれた。父ヤン゠イェシェクの死後、伯父のインジフ卿およびその息子ハヌシュ卿、そして彼の兄弟ら、リパー家の貴族が後見人となった。&lt;/paragraph&gt;&lt;paragraph&gt;プターチェクはヤン=フス師が投獄された後、フスを擁護する嘆願書に署名している。しかし彼はフス戦争において、当初は貴族連合に味方し、いくつかの小規模な戦いでフス派と戦った。例えば1419年にクニーンでフス派との戦いに参加している。これは、隣人であるシュテルンベルクのラツェク゠クラヴァシュに影響されたものと思われる。彼がこれ以降の戦いに参加したことを示す記録はない。&lt;/paragraph&gt;&lt;paragraph&gt;彼はラタイェとポルナーの領主だった。1412年にようやく後見人たちからラタイェを受け継いだ。地方官職を歴任し、息子は有名なヒネク゠プターチェクである。&lt;/paragraph&gt;&lt;paragraph&gt;しかし、私たちのゲームでは、プターチェク卿を実際の人物より年上にし、20歳の男性として設定しました。&lt;/paragraph&gt;",1
"ui_codex_char_charles","&lt;years&gt;14 May 1316 - 29 November 1378&lt;/years&gt;&lt;paragraph&gt;Charles IV of Luxembourg, son of John of Luxembourg, was the second king of Bohemia (1346-1378) of this dynasty and the first to be emperor of the Holy Roman Empire (1355-1378). Besides this he held many other titles, being Margrave of Moravia, Count of Luxembourg, King of Italy, Germany and Burgundy.&lt;/paragraph&gt;&lt;paragraph&gt;He was known for his diplomatic skills, and actively sought to secure his position in Europe - especially in Bohemia, Moravia and Germany. He was fluent in foreign languages and was taught at the French court by the future Pope Clement VI himself.&lt;/paragraph&gt;&lt;paragraph&gt;During his reign, Prague and the Bohemian territories underwent a major transformation. His father's neglected kingdom became the centre of the Holy Roman Empire. The period of cultural and economic prosperity of the Bohemian lands is therefore called the&lt;italic&gt;""Golden Age""&lt;/italic&gt;. Charles was therefore very popular and is still considered one of the most important rulers of the High Middle Ages.&lt;/paragraph&gt;&lt;paragraph&gt;He married four times and had thirteen children. The most famous were his &lt;accent&gt;sons Wenceslas and Sigismund&lt;/accent&gt;, who ruled the royal lands after him - Wenceslas in Bohemia, Sigismund in Hungary.&lt;/paragraph&gt;","<years>14. 5. 1316 – 29. 11. 1378</years><paragraph>Karel IV. Lucemburský,syn Jana Lucemburského, byl druhým králem českých zemí (1346–1378) z tétodynastie a prvním, který získal titul císaře Svaté říše římské (1355–1378).Mimo to držel mnoho jiných titulů, byl markrabětem moravským a hrabětemlucemburským, králem Itálie, Německa a Burgundska.</paragraph><paragraph>Bylznám svými diplomatickými dovednostmi, snažil se aktivně zajistit svoupozici v Evropě – hlavně v Čechách, na Moravě a v Německu. Ovládal dobřecizí jazyky, na francouzském dvoře ho učil sám pozdější papež KlementVI.</paragraph><paragraph>Za jeho vlády Praha a česká území prošly velkouproměnou. Z jeho otcem zanedbaného království se stalo centrum Římské říše.Období kulturního a ekonomického rozkvětu českých zemí se proto říká<italic>„zlatá doba“</italic>. Karel byl proto velmi oblíben a dodnes jepovažován za jednoho z nejvýznamnějších panovníků vrcholnéhostředověku.</paragraph><paragraph>Čtyřikrát se oženil a měl třináct dětí, většina z nich zemřela v mládí.Nejznámější byli jeho <accent>synové Václav a Zikmund</accent>, kteří po němvládli královským zemím – Václav v Čechách, Zikmund v Uhrách.</paragraph>","","&lt;years&gt;(1316/5/14 - 1378/11/29)&lt;/years&gt;&lt;paragraph&gt;ルクセンブルクのヨハンの息子であるルクセンブルクのカレルIV世 (カールIV世)は、ルクセンブルク朝の2代目ボヘミア王 (1346-1378) であり、ルクセンブルク朝の初代神聖ローマ皇帝 (1355-1378) であった。この他にモラヴィア辺境伯、ルクセンブルク伯、イタリア・ドイツ・ブルゴーニュ王など、多くの称号を持った。&lt;/paragraph&gt;&lt;paragraph&gt;巧みな外交手腕を持つことで知られ、ヨーロッパ、特にボヘミア・モラヴィア・ドイツでの地位確保に積極的に努めた。外国語に堪能で、フランスの宮廷で後のローマ教皇クレメンスVI世その人から教育を受けた。&lt;/paragraph&gt;&lt;paragraph&gt;彼の治世の間、プラハとボヘミア領は大きな変貌を遂げた。彼の父が放置していたボヘミア王国領は神聖ローマ帝国の中心地となった。そのため、ボヘミア地方の文化的および経済的繁栄期は&lt;italic&gt;「黄金時代」&lt;/italic&gt;と呼ばれている。このような功績をあげたカレル王はとても人気があり、今でも中世盛期で屈指の偉大な統治者とみなされている。&lt;/paragraph&gt;&lt;paragraph&gt;彼は4度結婚して13人の子供をもうけたが、そのほとんどが若いうちに亡くなった。もっとも有名なのは&lt;accent&gt;息子のヴァーツラフとジクムント&lt;/accent&gt;で、ヴァーツラフはボヘミア王国を、ジクムントはハンガリー王国を治めた。&lt;/paragraph&gt;",1
"ui_codex_char_cimburkove","&lt;paragraph&gt;The first mention of the Cimburk (Zimburg) family dates back to 1142, when an alleged ancestor of the family, Miroslav, founded Sedletz Monastery - the oldest Cistercian abbey in Bohemia. His origins are unknown and the coat of arms, of silver and red battlements, is only documented on a seal from the 14th century.&lt;/paragraph&gt;&lt;paragraph&gt;The original family seat is unknown, but according to legend the Cimburk family themselves considered it to be a castle above the Vrchlitz valley near Poličany. However, research here has only documented a nameless prehistoric and early medieval hillfort. Two other castles of the same name were founded by the family during the 14th century in Trnávka and near Koryčany in Moravia.&lt;/paragraph&gt;&lt;paragraph&gt;Notable members of the family were the brothers &lt;accent&gt;Jan Balšán&lt;/accent&gt;(Posy) and &lt;accent&gt;Miroslav&lt;/accent&gt; of Cimburk, who got into a dispute over their inheritance with their uncle Aleš (Alesh). They became infamous as robber knights and mercenaries during the Hussite Wars.&lt;/paragraph&gt;","<paragraph>První zmínka o rodu Cimburků pochází z roku 1142, kdy údajnýpředek rodu Miroslav založil sedlecký klášter - nejstarší cisterciáckéopatství v Čechách. Jeho původ je neznámý a mluvící erbovní znamenístříbrných a červených cimbuří je doloženo až na pečeti ze 14.století.</paragraph><paragraph>Původní rodové sídlo není známé, ale samiCimburové za něj dle legendy pokládali hrad nad údolím Vrchlice u Poličan.Výzkumem zde ovšem bylo doloženo pouze bezejmenné pravěké a raně středověkéhradiště. Jiné dva stejnojmenné hrady založil rod během 14. století vTrnávce a u Koryčan na Moravě.</paragraph><paragraph>Významnými příslušníkyrodu byly bratři <accent>Jan Balšán</accent> a <accent>Miroslav</accent> zCimburka, kteří se dostali do sporu o své dědictví se strýcem Alešem a zahusitských válek se nechvalně proslavili jako loupežní rytíři ažoldnéři.</paragraph>","","&lt;paragraph&gt;ツィムブルク家に関する最初の記述は1142年にさかのぼり、同家の先祖とされるミロスラフがボヘミア最古のシトー会修道院であるセドレツ修道院を創設したことに始まる。彼の出自は不明で、銀と赤の城壁の紋章は14世紀の印章にのみ記録されている。&lt;/paragraph&gt;&lt;paragraph&gt;一族の故地がどこにあったかは不明だが、とツィムブルク家に伝わる伝説から、一族の人間はポリチャニ近郊のヴルフリツコ渓谷の上にある城を故地と考えていたという。しかし、この地の調査では名もなき先史時代と中世初期の丘砦しか記録されていない。同名の城が他に2つあり、14世紀に一族によってモラヴィアのトルナーフカとコリチャニ近郊に築かれた。&lt;/paragraph&gt;&lt;paragraph&gt;この一族の特筆すべき人物はツィムブルクの&lt;accent&gt;ヤン゠バルシャーン&lt;/accent&gt;と&lt;accent&gt;ミロスラフ&lt;/accent&gt;兄弟で、2人は叔父のアレシュと遺産相続をめぐって争った。兄弟はフス戦争中に強盗騎士あるいは傭兵として悪名を馳せた。&lt;/paragraph&gt;",1
"ui_codex_char_hanush","&lt;years&gt;? - 1415&lt;/years&gt;&lt;paragraph&gt;Following the death of Heinrich III of Pirkstein in 1402, Hanush of Leipa became &lt;accent&gt;the guardian of the former's son, Hans Capon&lt;/accent&gt; and thus the acting governor of the surrounding region. He completed the construction of Pirkstein, its fortifications and the local church of St. Matthew, which contains a shrine to his family.&lt;/paragraph&gt;&lt;paragraph&gt;When Sigismund of Luxembourg invaded and burned Skalitz, the town's Burgrave, Radzig Kobyla, and the survivors of the raid found refuge with Hanush. Hanush subsequently took action against scattered groups of brigands and Cumans.&lt;/paragraph&gt;&lt;paragraph&gt;His relationship with the king was peculiar to say the least, judging by often contradictory sources. It appears that in 1410 crown forces descended on the town of Rattay in Hanush' domain, probably after he became a robber baron and rebel, who may also have participated in the siege of Jihlava in Moravia. Nevertheless, in 1414 he became a Provincial Marshal and dwelt together with his wife Margaret of Sternberg at Spilberg in Brno.&lt;/paragraph&gt;","<years>? - 1415</years><paragraph>Hanuš z Lipé byl po smrti otce JindřichaIII. z Pirkštejna (1402) <accent>poručníkem Jana Ptáčka</accent> na Ratajícha de facto tak i správce okolního kraje. Dokončil stavbu Pirkštejna,opevnění a místního kostela sv. Matouše, kde zřídil místo pro věčnou lampu,která hořela za spásu jeho a jeho rodiny.</paragraph><paragraph>Když ZikmundLucemburský napadl a vypálil Skalici, našel purkrabí skalického hradu RacekKobyla u Hanuše azyl pro sebe i přeživší obyvatele města. Nadále pak Hanušvedl výpady proti menším skupinkám lapků a kumánskýchplenitelů.</paragraph><paragraph>Jeho vztah ke králi byl přinejmenšímzvláštní, alespoň co lze soudit z často protichůdných pramenů. Roku 1410měla totiž na Rataje táhnout zemská hotovost, zřejmě poté, co se Hanuš stalloupeživým rytířem a „zemským škůdcem“ a pravděpodobně se i zúčastnilobléhání Jihlavy. Zároveň se ale roku 1414 stal zemským maršálkem a spolu sesvou ženou Markétou ze Šternberka přebýval na Špilberku v Brně.</paragraph>","","&lt;years&gt;(? - 1415)&lt;/years&gt;&lt;paragraph&gt;1402年にピルクシュテインのインジフIII世が死去した後、リパーのハヌシュが&lt;accent&gt;先代の息子ヤン=プターチェクの後見人&lt;/accent&gt;となり、周辺地域の統治者代理となった。彼はピルクシュテイン城と城塞、そして彼の一族の奉納する地元の聖マタイ教会の建設を完了させた。&lt;/paragraph&gt;&lt;paragraph&gt;ルクセンブルクのジクムントがスカリツェを侵略して焼き払った後、街の城伯だったラツェク=コビラと襲撃の生存者はハヌシュの元へ避難した。ハヌシュはその後、周辺に散らばった盗賊やクマン人の集団に対して行動を起こした。&lt;/paragraph&gt;&lt;paragraph&gt;彼の王との関係は、矛盾する史料が多いことから判断するにかなり奇妙なものであった。1410年、ハヌシュが強盗騎士あるいは反乱者になり、モラヴィアのイフラバの包囲に参加したと思われた後に、王の軍隊がハヌシュの支配下にあるラタイェを制圧したと見られる。それでも1414年に彼は王国元帥となり、妻であるシュテルンベルクのマルケータと共にブルノのシュピルベルクに住んだ。&lt;/paragraph&gt;",1
